,CollegeCode,College,Department,Area
12180,EDG,Education,Education Administration,Education
12181,LAG,Liberal Arts & Sciences,Theatre Arts,Theatre Arts
12182,ENG,Engineering,Engineering Administration,Engineering
12183,MEG,Medicine,Urology,Cancer/Urology
12184,MEG,Medicine,Ophthalmology & Visual Science,Institute of Vision Research
12185,LAG,Liberal Arts & Sciences,Cinematic Arts,Cinematic Arts
12186,HSG,UI Hospitals and Clinics,UI Children's Hospital,UI Children's Hospital
12187,HSG,UI Hospitals and Clinics,UI Children's Hospital,UI Children's Hospital
12188,MEG,Medicine,Medicine Administration,Medicine Administration
12189,LWG,Law,Law Foundation,Law Endowment Campaign
12190,MEG,Medicine,Basic Sciences,Biochemistry & Molecular Biolo
12191,LAG,Liberal Arts & Sciences,Health & Human Physiology,Sports & Recreation Management
12192,SAG,Student Aid,Student Aid General Admin,Student Aid
12193,LAG,Liberal Arts & Sciences,Theatre Arts,Playwriting/Screenwriting
12194,BUG,Business,Business Administration,Business
12195,DEG,Dentistry,Preventive & Community Dentist,Preventive & Comm. Dentistry
12196,MEG,Medicine,Medicine Administration,Medicine Administration
12197,MEG,Medicine,Medicine Administration,Medicine Administration
12198,NUG,Nursing,Nursing Administration,Nursing General
12199,LAG,Liberal Arts & Sciences,World Languages & Cultures,Spanish and Portuguese
12200,MEG,Medicine,Cancer Center,Cancer Center
12201,ATG,Athletics,Athletics Non-Membership,Athletics/Women/Endow/No IClub
12202,LAG,Liberal Arts & Sciences,Journalism,Journalism
12203,SAG,Student Aid,Student Aid General Admin,Student Aid
12204,BUG,Business,Business Administration,Business
12205,LAG,Liberal Arts & Sciences,Journalism,Journalism
12206,MEG,Medicine,Cancer Center,Cancer Center
12207,URG,Unrestricted,UIF Unrestricted Admin,Unrestricted
12208,MEG,Medicine,Medicine Administration,Medicine Administration
12209,ATG,Athletics,Athletics Non-Membership,Athletic/M or W/Endow/No IClub
12210,LAG,Liberal Arts & Sciences,Earth & Environmental Science,Earth & Environmental Sciences
12211,VSG,Office of Univ Student Life,VP Student Life Admin,Student Disability Services
12212,NUG,Nursing,Nursing Administration,Nursing General
12213,NUG,Nursing,Nursing Administration,Nursing General
12214,LWG,Law,Law Foundation,Law Endowment Campaign
12215,PHG,Pharmacy,Pharmacy Administration,Pharmacy General
12216,LAG,Liberal Arts & Sciences,Literary Arts,Writers' Wrkshp
12217,LAG,Liberal Arts & Sciences,Music,Music
12218,MEG,Medicine,Pediatrics,Pediatric Endocrinology
12219,MEG,Medicine,Basic Sciences,Physiology and Biophysics
12220,ENG,Engineering,Engineering Administration,Engineering - EN
12221,BUG,Business,Business Administration,Business
12222,HSG,UI Hospitals and Clinics,UI Hospitals and Clinics Admin,Cancer/Hospital
12223,MEG,Medicine,Ophthalmology & Visual Science,Institute of Vision Research
12224,MEG,Medicine,Internal Medicine,CVICU
12225,LAG,Liberal Arts & Sciences,Liberal Arts and Sciences Admin,Liberal Arts & Sciences
12226,ATG,Athletics,Athletics Non-Membership,Athletics/Men/Endow/No I-Club
12227,SAG,Student Aid,Student Aid General Admin,Priority Scholarship
12228,LAG,Liberal Arts & Sciences,Journalism,Journalism
12229,BUG,Business,Business Administration,Finance
12230,MEG,Medicine,Orthopaedic Surgery,Orthopaedic Surgery
12231,MEG,Medicine,Internal Medicine,Cardiovascular Diseases
12232,LAG,Liberal Arts & Sciences,Liberal Arts and Sciences Admin,Liberal Arts & Sciences Other
12233,LAG,Liberal Arts & Sciences,Rhetoric,Rhetoric
12234,MEG,Medicine,Cancer Center,Urology/Cancer
12235,LIG,UI Libraries,University Libraries Admin,UI Libraries
12236,UKG,Unknown,Unknown Designation Admin,Unknown
12237,URG,Unrestricted,UIF Unrestricted Admin,Unrestricted
12238,BUG,Business,Business Administration,Pappajohn Entrepreneurial Ctr
12239,ENG,Engineering,Inst. for Hydraulic Research,Inst. for Hydraulic Research
12240,LWG,Law,Law Foundation,Law Foundation
12241,NUG,Nursing,Nursing Administration,Nursing General
12242,MEG,Medicine,Ophthalmology & Visual Science,Institute of Vision Research
12243,EDG,Education,Education Administration,Education
12244,LAG,Liberal Arts & Sciences,Philosophy,Philosophy
12245,ATG,Athletics,Athletics Non-Membership,Athletic/M or W/Endow/No IClub
12246,LAG,Liberal Arts & Sciences,Liberal Arts and Sciences Admin,Lib. Arts & Sciences Unrestric
12247,LAG,Liberal Arts & Sciences,Mathematical Sciences,Mathematics
12248,GCG,Graduate College,Graduate College Admin,UI Press
12249,HAG,Hancher,Hancher Administration,Hancher
12250,GCG,Graduate College,Graduate College Admin,Planning and Public Affairs
12251,LIG,UI Libraries,University Libraries Admin,Hardin Lib for Health Sciences
12252,MEG,Medicine,Internal Medicine,Internal Medicine Admin.
12253,URG,Unrestricted,UIF Unrestricted Admin,Unrestricted
12254,LAG,Liberal Arts & Sciences,Religion,Religion
12255,MEG,Medicine,Orthopaedic Surgery,Orthopaedic Surgery
12256,SAG,Student Aid,Student Aid General Admin,Student Aid
12257,LIG,UI Libraries,University Libraries Admin,UI Libraries
12258,SAG,Student Aid,Student Aid General Admin,Priority Scholarship
12259,LAG,Liberal Arts & Sciences,Literary Arts,English
12260,MEG,Medicine,Internal Medicine,Internal Medicine Education
12261,BUG,Business,Business Administration,Institute of Risk and Insuranc
12262,DEG,Dentistry,Dentistry Administration,Dentistry Other
12263,PHG,Pharmacy,Pharmacy Administration,Pharmacy General
12264,ENG,Engineering,Engineering Administration,Engineering
12265,MEG,Medicine,Neurology,Neurology
12266,NUG,Nursing,Nursing Administration,Nursing General
12267,HSG,UI Hospitals and Clinics,UI Hospitals and Clinics Admin,Office of the Patient Experience
12268,MEG,Medicine,Neuroscience Institute,Neuroscience Area
12269,DEG,Dentistry,Dentistry Administration,Dentistry Other
12270,MEG,Medicine,Medicine Administration,Global Education
12271,VSG,Office of Univ Student Service,VP Student Services Admin,VP Student Services
12272,ATG,Athletics,Athletics Non-Membership,Athletics/Men/Endow/No I-Club
12273,LWG,Law,Law Foundation,Law Endowment Campaign
12274,MEG,Medicine,Internal Medicine,Cardiovascular Diseases
12275,DEG,Dentistry,Dentistry Administration,Dentistry Other
12276,HSG,UI Hospitals and Clinics,Children's Miracle Network,Children's Miracle Network
12277,LAG,Liberal Arts & Sciences,Liberal Arts and Sciences Admin,Liberal Arts & Sciences Other
12278,PQG,Public Health,Health Management and Policy,Health Management and Policy
12279,LAG,Liberal Arts & Sciences,Liberal Arts and Sciences Admin,Lib. Arts & Sciences Unrestric
12280,BUG,Business,Accounting Group,Accounting
12281,LAG,Liberal Arts & Sciences,History,History
12282,LAG,Liberal Arts & Sciences,Theatre Arts,Theatre Arts
12283,VSG,Office of Univ Student Life,VP Student Life Admin,VP Student Life
12284,ATG,Athletics,Athletics I-Club Membership,Athletics/Men's/I-Club
12285,PHG,Pharmacy,Pharmacy Administration,Pharmacy General
12286,MUG,Museum of Art,Museum Administration,Museum of Art General
12287,LWG,Law,Law Foundation,Law Endowment Campaign
12288,LWG,Law,Law Foundation,Law Foundation
12289,PQG,Public Health,Epidemiology,Epidemiology
12290,VSG,Office of Univ Student Life,VP Student Life Admin,VP Student Life
12291,LAG,Liberal Arts & Sciences,Art and Art History,Jewelry and Metal Arts
12292,HSG,UI Hospitals and Clinics,Children's Miracle Network,Children's Miracle Network
12293,ATG,Athletics,Athletics Non-Membership,Athletic/M or W/Endow/No IClub
12294,HAG,Hancher,Hancher Administration,Hancher
12295,MUG,Museum of Art,Museum Administration,Museum of Art General
12296,BUG,Business,Business Administration,Business
12297,NUG,Nursing,Nursing Administration,Nursing General
12298,MEG,Medicine,Surgery,Surgery General
12299,MEG,Medicine,Medicine Administration,Medicine Administration
12300,LAG,Liberal Arts & Sciences,Religion,Religion
12301,CEG,University College,University College Admin,Army
12302,LIG,UI Libraries,University Libraries Admin,Library Materials
12303,LAG,Liberal Arts & Sciences,Literary Arts,Writers' Wrkshp
12304,ENG,Engineering,Engineering Administration,Engineering
12305,LAG,Liberal Arts & Sciences,Chemistry,Chemistry
12306,MEG,Medicine,Medicine Administration,Medicine Administration
12307,ATG,Athletics,Athletics I-Club Membership,Athletics/Men/Endowment/I-Club
12308,NOG,Non-Collegiate Other,Non-Collegiate Other Admin,Non-Colleg.-Oth
12309,URG,Unrestricted,UIF Unrestricted Admin,Unrestricted
12310,MEG,Medicine,Cancer Center,Cancer Center
12311,MEG,Medicine,Pediatrics,Pediatric Neurology
12312,LAG,Liberal Arts & Sciences,Psychology,Psychology
12313,MEG,Medicine,Orthopaedic Surgery,Orthopaedic Surgery
12314,MEG,Medicine,Internal Medicine,Gastroenterology/Hepatology
12315,VRG,Office of University Research,VP Research Administration,VP Research
12316,DEG,Dentistry,Oral & Maxillofacial Surgery,Oral and Maxillofacial Surgery
12317,LAG,Liberal Arts & Sciences,Liberal Arts and Sciences Admin,Liberal Arts & Sciences
12318,ENG,Engineering,Engineering Administration,Engineering
12319,GCG,Graduate College,Graduate College Admin,Graduate College
12320,VSG,Office of Univ Student Life,VP Student Life Admin,VP Student Life
12321,MEG,Medicine,Internal Medicine,Endocrinology/Metabolism
12322,LAG,Liberal Arts & Sciences,Literary Arts,Writers' Wrkshp
12323,BUG,Business,Business Administration,Business
12324,DEG,Dentistry,Dentistry Administration,Dentistry Student Affairs
12325,LAG,Liberal Arts & Sciences,Physics and Astronomy,Physics & Astr.
12326,SAG,Student Aid,Student Aid General Admin,Student Aid
12327,SAG,Student Aid,Student Aid General Admin,Student Aid
12328,PQG,Public Health,Health Management and Policy,Health Management and Policy
12329,DIG,Daily Iowan,Daily Iowan,Daily Iowan
12330,CEG,University College,University College Admin,Debate
12331,MEG,Medicine,Psychiatry,Psychiatry
12332,MEG,Medicine,Medicine Administration,Medicine Administration
12333,LAG,Liberal Arts & Sciences,Department of Biology,Department of Biology
12334,LAG,Liberal Arts & Sciences,Chemistry,Chemistry
12335,EDG,Education,Belin Blank Center,Belin Center
12336,ENG,Engineering,Inst. for Hydraulic Research,Inst. for Hydraulic Research
12337,MEG,Medicine,Cancer Center,Cancer Center
12338,BUG,Business,Accounting Group,Accounting
12339,LAG,Liberal Arts & Sciences,Mathematical Sciences,Mathematics
12340,LAG,Liberal Arts & Sciences,Liberal Arts & Sciences Admin.,Liberal Arts & Sciences
12341,LAG,Liberal Arts & Sciences,History,History
12342,PQG,Public Health,Health Management and Policy,Health Management and Policy
12343,CEG,Continuing Education,Continuing Education Admin,Continuing Edu.
12344,LWG,Law,Law Foundation,Law Endowment Campaign
12345,EDG,Education,Education Administration,Education
12346,PHG,Pharmacy,Pharmacy Administration,Pharmacy General
12347,ATG,Athletics,Athletics Non-Membership,Athletic/M or W/Endow/No IClub
12348,BUG,Business,Business Administration,Business
12349,LAG,Liberal Arts & Sciences,Music,Music
12350,MEG,Medicine,Ophthalmology & Visual Science,Ophthalmology & Visual Science
12351,URG,Unrestricted,UIF Unrestricted Admin,Unrestricted
12352,SAG,Student Aid,Student Aid General Admin,Student Aid
12353,HSG,UI Hospitals and Clinics,UI Hospitals and Clinics Admin,Volunteer Services
12354,LAG,Liberal Arts & Sciences,Liberal Arts and Sciences Admin,Liberal Arts & Sciences
12355,DEG,Dentistry,Prosthodontics,Prosthodontics
12356,LAG,Liberal Arts & Sciences,Journalism,Journalism
12357,VSG,Office of Univ Student Life,VP Student Life Admin,Recreational Services
12358,ENG,Engineering,Engineering Administration,Engineering Facilities
12359,MEG,Medicine,OB/Gyn,Ob/Gyn
12360,ENG,Engineering,Engineering Administration,Engineering
12361,LAG,Liberal Arts & Sciences,Chemistry,Chemistry
12362,LAG,Liberal Arts & Sciences,Psychological & Brain Sciences,Psychology
12363,MEG,Medicine,Orthopaedic Surgery,Athletic Training Education
12364,ENG,Engineering,Engineering Administration,Engineering
12365,UKG,Unknown,Unknown Designation Admin,Unknown
12366,ATG,Athletics,Athletics I-Club Membership,Athletics/Men/Endowment/I-Club
12367,MEG,Medicine,Medicine Administration,Medicine Administration
12368,ATG,Athletics,Athletics Non Deductible,I-Club/Ath Premium Seating-GIK
12369,ATG,Athletics,Athletics Non-Membership,Athletics Other M or W/No-ICB
12370,CEG,University College,University College Admin,Honors Program
12371,LAG,Liberal Arts & Sciences,Music,Music
12372,ENG,Engineering,Engineering Administration,Engineering
12373,LAG,Liberal Arts & Sciences,Music,Music
12374,LWG,Law,Law Foundation,Law Endowment Campaign
12375,LAG,Liberal Arts & Sciences,World Languages & Cultures,Russian
12376,LAG,Liberal Arts & Sciences,Department of Biology,Department of Biology
12377,EDG,Education,Education Administration,REACH
12378,MEG,Medicine,Dermatology,Dermatology
12379,SAG,Student Aid,Student Aid General Admin,Student Aid
12380,MEG,Medicine,Medicine Administration,UI Heart Care Center
12381,EDG,Education,Education Administration,REACH
12382,LAG,Liberal Arts & Sciences,Performing Arts Group,Performing Arts
12383,HAG,Hancher,Hancher Administration,Hancher
12384,BUG,Business,Accounting Group,Accounting
12385,MEG,Medicine,Internal Medicine,Endocrinology/Metabolism
12386,P1G,Provost Area Accounts,Provost Area Accounts,Provost Area
12387,MEG,Medicine,Pediatrics,Pediatric Neurology
12388,ATG,Athletics,Athletics Non-Membership,Varsity Club
12389,MEG,Medicine,Internal Medicine,Immunology
12390,GCG,Graduate College,Graduate College Admin,Library Science
12391,LWG,Law,Law Foundation,Law Endowment Campaign
12392,MEG,Medicine,Pediatrics,Pediatric Nutrition
12393,LAG,Liberal Arts & Sciences,Music,Music
12394,GCG,Graduate College,Graduate College Admin,Library Science
12395,PQG,Public Health,Public Health Administration,Public Health
12396,BUG,Business,Business Administration,Pappajohn Entrepreneurial Ctr
12397,MEG,Medicine,Medicine Administration,Medicine Administration
12398,COG,Collegiate Other,Collegiate Other Admin,Colleg.-Other
12399,SAG,Student Aid,Student Aid General Admin,Priority Scholarship
12400,ATG,Athletics,Athletics Non-Membership,Athletics/Men/Endow/No I-Club
12401,MEG,Medicine,Medicine Administration,Medicine Administration
12402,MEG,Medicine,Medicine Administration,IA Bone Marrow Program
12403,SAG,Student Aid,Student Aid General Admin,Student Aid
12404,PHG,Pharmacy,Pharmacy Administration,Pharmacy General
12405,LAG,Liberal Arts & Sciences,Music,Music
12406,EDG,Education,Education Administration,Education
12407,ATG,Athletics,Athletics Non-Membership,Varsity Club
12408,VSG,Office of Univ Student Life,VP Student Life Admin,Multi/Intl Student Suppt/Eng
12409,MEG,Medicine,Internal Medicine,Gastroenterology/Hepatology
12410,DEG,Dentistry,Prosthodontics,Prosthodontics
12411,SAG,Student Aid,Student Aid General Admin,Student Aid
12412,MUG,Museum of Art,Museum Administration,Museum of Art General
12413,CUG,Campus Beautification,Campus Beautification Admin,Campus Beautification
12414,ATG,Athletics,Athletics I-Club Membership,Athletics/Men's/I-Club
12415,MUG,Museum of Art,Museum Administration,Museum of Art General
12416,LAG,Liberal Arts & Sciences,Music,Music
12417,EDG,Education,Education Administration,Education
12418,LAG,Liberal Arts & Sciences,Journalism,Journalism
12419,EDG,Education,Education Administration,REACH
12420,HSG,UI Hospitals and Clinics,UI Children's Hospital,Child Health Specialty Clinics
12421,CEG,University College,University College Admin,Debate
12422,LAG,Liberal Arts & Sciences,Social Work,Social Work
12423,ATG,Athletics,Athletics Non-Membership,Athletics/Men/Endow/No I-Club
12424,SAG,Student Aid,Student Aid General Admin,Student Aid
12425,MEG,Medicine,Orthopaedic Surgery,Orthopaedic Surgery & Children
12426,BUG,Business,Business Administration,Pappajohn Entrepreneurial Ctr
12427,MEG,Medicine,Basic Sciences,Microbiology
12428,DEG,Dentistry,Oral Pathology & Diagnosis,Oral Pathology and Diagnosis
12429,BUG,Business,Accounting Group,Accounting
12430,ENG,Engineering,Electrical/Computer Engineering,Electrical & Computer Engin.
12431,ATG,Athletics,Athletics Non-Membership,Athletic/M or W/Endow/No IClub
12432,MEG,Medicine,Cancer Center,Urology/Cancer
12433,LAG,Liberal Arts & Sciences,Cinematic Arts,Cinematic Arts
12434,BUG,Business,Business Administration,Pappajohn Entrepreneurial Ctr
12435,ATG,Athletics,Athletics Non-Membership,Athletics/Men/Endow/No I-Club
12436,MEG,Medicine,Medicine Administration,Medicine Administration
12437,MEG,Medicine,Basic Sciences,Anatomy and Cell Biology
12438,MEG,Medicine,Urology,Urology
12439,MEG,Medicine,Medicine Administration,Medicine Administration
12440,SAG,Student Aid,Student Aid General Admin,Student Aid
12441,LAG,Liberal Arts & Sciences,Rhetoric,Rhetoric
12442,DEG,Dentistry,Dental Research,Dental Research
12443,HSG,UI Hospitals and Clinics,UI Hospitals and Clinics Admin,UIHC Administration
12444,MEG,Medicine,Medicine Administration,Medicine Administration
12445,MEG,Medicine,Neuroscience Institute,Neuroscience Area
12446,LAG,Liberal Arts & Sciences,Chemistry,Chemistry
12447,LAG,Liberal Arts & Sciences,Mathematical Sciences,Mathematics
12448,MEG,Medicine,Medicine Administration,Medicine Administration
12449,BUG,Business,Business Administration,Business
12450,ENG,Engineering,Engineering Administration,Engineering
12451,HSG,UI Hospitals and Clinics,UI Children's Hospital,UI Children's Hospital
12452,MEG,Medicine,Medicine Administration,Medicine Capital Campaign
12453,NUG,Nursing,Nursing Administration,Nursing General
12454,SAG,Student Aid,Student Aid General Admin,Student Aid
12455,MEG,Medicine,Pediatrics,Hematology/Oncology
12456,ATG,Athletics,Athletics Non-Membership,Athletic/M or W/Endow/No IClub
12457,LAG,Liberal Arts & Sciences,Communication Sciences & Disorders,Communication Sciences & Disor
12458,VSG,Office of Univ Student Life,VP Student Life Admin,VP Student Life
12459,MEG,Medicine,Medicine Administration,Medicine Administration
12460,ATG,Athletics,Athletics Non-Membership,Athletic/M or W/Endow/No IClub
12461,PHG,Pharmacy,Pharmacy Administration,Pharmacy General
12462,LAG,Liberal Arts & Sciences,Journalism,Journalism
12463,LAG,Liberal Arts & Sciences,Chemistry,Chemistry
12464,COG,Collegiate Other,Collegiate Other Admin,Colleg.-Other
12465,LAG,Liberal Arts & Sciences,Music,Music
12466,LAG,Liberal Arts & Sciences,Theatre Arts,Theatre Arts
12467,LAG,Liberal Arts & Sciences,History,History
12468,UIAA,Alumni Association College,Alumni Association Department,Alumni Association Area
12469,LWG,Law,Law Foundation,30-425-000 (IA Law School Fdn)
12470,MEG,Medicine,Pediatrics,Hematology/Oncology
12471,BUG,Business,Business Administration,Business
12472,MEG,Medicine,Cancer Center,Cancer Center
12473,HSG,UI Hospitals and Clinics,UI Hospitals and Clinics Admin,Burn accounts
12474,PQG,Public Health,Health Management and Policy,Health Management and Policy
12475,LAG,Liberal Arts & Sciences,Department of Biology,Department of Biology
12476,LAG,Liberal Arts & Sciences,Music,Music
12477,ATG,Athletics,Athletics Non-Membership,Athletics/Other Wom/No I-Club
12478,BUG,Business,Accounting Group,Accounting
12479,PQG,Public Health,Public Health Administration,Public Health
12480,MEG,Medicine,Neurosurgery,Neurosurgery
12481,LWG,Law,Law Foundation,Law Foundation
12482,HSG,UI Hospitals and Clinics,UI Children's Hospital,UI Children's Hospital
12483,VSG,Office of Univ Student Life,VP Student Life Admin,VP Student Life
12484,LAG,Liberal Arts & Sciences,Communication Sciences & Disorders,Communication Sciences & Disor
12485,MEG,Medicine,Surgery,Other
12486,DEG,Dentistry,Dentistry Administration,Dentistry General
12487,ATG,Athletics,Athletics Non-Membership,Athletics Other M or W/No-ICB
12488,SAG,Student Aid,Student Aid General Admin,Student Aid
12489,BUG,Business,Business Administration,Business
12490,MUG,Museum of Art,Museum Administration,Museum of Art General
12491,LAG,Liberal Arts & Sciences,World Languages & Cultures,Spanish and Portuguese
12492,BUG,Business,Business Administration,Business
12493,LAG,Liberal Arts & Sciences,Literary Arts,Writers' Wrkshp
12494,MEG,Medicine,Orthopaedic Surgery,Orthopaedic Surgery
12495,LAG,Liberal Arts & Sciences,Music,Music
12496,MEG,Medicine,Neurology,Neurology
12497,MEG,Medicine,Ophthalmology & Visual Science,Ophthalmology & Visual Science
12498,NUG,Nursing,Nursing Administration,Nursing General
12499,EDG,Education,Education Administration,Education
12500,LWG,Law,Law Foundation,Law Library
12501,SAG,Student Aid,Student Aid General Admin,Student Aid
12502,COG,Collegiate Other,Collegiate Other Admin,Colleg.-Other
12503,ATG,Athletics,Athletics Non-Membership,Athletics Other M or W/No-ICB
12504,LWG,Law,Law Foundation,30-425-000 (IA Law School Fdn)
12505,VSG,Office of Univ Student Life,VP Student Life Admin,Student Disability Services
12506,LAG,Liberal Arts & Sciences,Department of Biology,Department of Biology
12507,ENG,Engineering,Engineering Administration,Engineering Facilities
12508,MEG,Medicine,Urology,Urology
12509,MEG,Medicine,OB/Gyn,Cancer/OB-GYN
12510,MEG,Medicine,Cardiothoracic Surgery,Cardiothoracic Surgery
12511,HAG,Hancher,Hancher Administration,Hancher
12512,LAG,Liberal Arts & Sciences,Physics and Astronomy,Physics & Astr.
12513,AAG,Alumni Association,Alumni Association Admin,Senior College
12514,ENG,Engineering,Biomedical Engineering,Biomedical Eng/IA Inst Bio Eng
12515,LAG,Liberal Arts & Sciences,Chemistry,Chemistry
12516,MEG,Medicine,Ophthalmology & Visual Science,Ophthalmology & Visual Science
12517,LAG,Liberal Arts & Sciences,Communication Sciences & Disorders,Communication Sciences & Disor
12518,MEG,Medicine,Otolaryngology,Otolaryngology
12519,MEG,Medicine,Neurosurgery,Neurosurgery
12520,MEG,Medicine,Ophthalmology & Visual Science,Ophthalmology & Visual Science
12521,COG,Collegiate Other,Collegiate Other Admin,Colleg.-Other
12522,MEG,Medicine,Ophthalmology & Visual Science,Institute of Vision Research
12523,LAG,Liberal Arts & Sciences,Earth & Environmental Science,Earth & Environmental Sciences
12524,LWG,Law,Law Foundation,Law Endowment Campaign
12525,HAG,Hancher,Hancher Administration,Hancher
12526,LWG,Law,Law Foundation,Law Endowment Campaign
12527,ENG,Engineering,Civil/Environmental Engineering,Civil/Env. Eng.
12528,MEG,Medicine,Basic Sciences,Microbiology
12529,MEG,Medicine,Cancer Center,Cancer Center
12530,SAG,Student Aid,Student Aid General Admin,Student Aid Iowa Club Accts
12531,MEG,Medicine,Medicine Administration,Medicine Administration
12532,ENG,Engineering,Engineering Administration,Engineering
12533,MEG,Medicine,Ophthalmology & Visual Science,Institute of Vision Research
12534,LAG,Liberal Arts & Sciences,Chemistry,Chemistry
12535,LAG,Liberal Arts & Sciences,Music,Music
12536,SAG,Student Aid,Student Aid General Admin,Student Aid
12537,MEG,Medicine,Associated Medical Sciences,Phys. Therapy
12538,SAG,Student Aid,Student Aid General Admin,Student Aid
12539,ATG,Athletics,Athletics Non-Membership,Athletics/Men/Endow/No I-Club
12540,LAG,Liberal Arts & Sciences,Theatre Arts,Theatre Arts
12541,COG,Collegiate Other,Collegiate Other Admin,Colleg.-Other
12542,ENG,Engineering,Engineering Administration,Engineering
12543,NUG,Nursing,Nursing Administration,Nursing General
12544,ENG,Engineering,Engineering Administration,Engineering
12545,ATG,Athletics,Athletics Non-Membership,Athletics/Men/Endow/No I-Club
12546,LAG,Liberal Arts & Sciences,Music,Music
12547,LAG,Liberal Arts & Sciences,Mathematical Sciences,Mathematics
12548,SAG,Student Aid,Student Aid General Admin,Student Aid
12549,ENG,Engineering,Biomedical Engineering,Biomedical Eng/IA Inst Bio Eng
12550,LAG,Liberal Arts & Sciences,World Languages & Cultures,French and Italian
12551,LAG,Liberal Arts & Sciences,Health & Human Physiology,Sports & Recreation Management
12552,LAG,Liberal Arts & Sciences,Literary Arts,Writers' Wrkshp
12553,LWG,Law,Law Foundation,Law Endowment Campaign
12554,LWG,Law,Law Administration,Law
12555,MEG,Medicine,Biomedical Discovery Institute,Biomedical Discovery
12556,ATG,Athletics,Athletics Non-Membership,Athletics Other M or W/No-ICB
12557,LAG,Liberal Arts & Sciences,Communication Sciences & Disorders,Communication Sciences & Disor
12558,MEG,Medicine,Internal Medicine,Cardiovascular Diseases
12559,BUG,Business,Accounting Group,Accounting
12560,LAG,Liberal Arts & Sciences,Computer Science,Computer Sci.
12561,LAG,Liberal Arts & Sciences,Geology,Geoscience
12562,NUG,Nursing,Nursing Administration,Nursing General
12563,MEG,Medicine,Basic Sciences,Neuroscience and Pharmacology
12564,MEG,Medicine,Neuroscience Institute,Neuroscience Area
12565,LIG,UI Libraries,University Libraries Admin,UI Libraries
12566,UUG,UI Unrestricted,UI Unrestricted Administration,Human Resources
12567,MEG,Medicine,Medicine Administration,Medicine Administration
12568,SAG,Student Aid,Student Aid General Admin,Student Aid
12569,LAG,Liberal Arts & Sciences,Statistics and Actuarial Science,Statistics & Actuarial Science
12570,LAG,Liberal Arts & Sciences,Statistics and Actuarial Science,Statistics & Actuarial Science
12571,BUG,Business,Accounting Group,Accounting
12572,MEG,Medicine,Cancer Center,Cancer Center
12573,CEG,Continuing Education,Continuing Education Admin,Continuing Edu.
12574,DEG,Dentistry,Oral Pathology & Diagnosis,Oral Pathology and Diagnosis
12575,MEG,Medicine,Ophthalmology & Visual Science,Institute of Vision Research
12576,NUG,Nursing,Nursing Administration,NIC/NOC Nursing Classification
12577,LAG,Liberal Arts & Sciences,Literary Arts,English
12578,MEG,Medicine,Pediatrics,Hematology/Oncology
12579,ATG,Athletics,Athletics Non-Membership,Athletics/Men/Endow/No I-Club
12580,EDG,Education,Education Administration,Teacher Leader Center
12581,SAG,Student Aid,Student Aid General Admin,Priority Scholarship
12582,LWG,Law,Law Foundation,30-425-000 (IA Law School Fdn)
12583,MEG,Medicine,Medicine Administration,Medicine Administration
12584,MEG,Medicine,Cancer Center,Cancer Center
12585,ENG,Engineering,Inst. for Hydraulic Research,Inst. for Hydraulic Research
12586,ENG,Engineering,Biomedical Engineering,Biomedical Eng/IA Inst Bio Eng
12587,NUG,Nursing,Nursing Administration,Nursing General
12588,SAG,Student Aid,Student Aid General Admin,Student Aid
12589,ATG,Athletics,Athletics I-Club Membership,Athletics/Men/Endowment/I-Club
12590,BUG,Business,Business Administration,Management and Organization
12591,PHG,Pharmacy,Pharmacy Administration,Pharmacy General
12592,MEG,Medicine,Neurology,Neurology
12593,MEG,Medicine,Pediatrics,Pediatric Cardiology
12594,MEG,Medicine,Orthopaedic Surgery,Orthopaedic Surgery
12595,VSG,Office of Univ Student Life,VP Student Life Admin,VP Student Life
12596,VSG,Office of Univ Student Life,VP Student Life Admin,VP Student Life
12597,MEG,Medicine,Neurology,Neurology
12598,ATG,Athletics,Athletics Non-Membership,Athletic/M or W/Endow/No IClub
12599,MEG,Medicine,Psychiatry,Psychiatry
12600,MEG,Medicine,Pediatrics,Pediatrics
12601,COG,Collegiate Other,Collegiate Other Admin,Colleg.-Other
12602,MEG,Medicine,Internal Medicine,Gastroenterology/Hepatology
12603,LAG,Liberal Arts & Sciences,Theatre Arts,Theatre Arts
12604,ENG,Engineering,Engineering Administration,Women in Science & Engineering
12605,AAG,Alumni Association,Alumni Association Admin,Alumni Assoc.
12606,VSG,Office of Univ Student Service,VP Student Services Admin,VP Student Services
12607,HSG,UI Hospitals and Clinics,UI Hospitals and Clinics Admin,UIHC Administration
12608,MEG,Medicine,Cancer Center,Cancer Center
12609,LAG,Liberal Arts & Sciences,Health & Human Physiology,Sports & Recreation Management
12610,ATG,Athletics,Athletics Non-Membership,Athletics/Other Men/No I-Club
12611,MEG,Medicine,Pediatrics,Pediatrics
12612,HSG,UI Hospitals and Clinics,UI Children's Hospital,UI Children's Hospital
12613,LWG,Law,Law Foundation,Law Foundation
12614,ATG,Athletics,Athletics Non-Membership,Athletic/M or W/Endow/No IClub
12615,BUG,Business,Accounting Group,Accounting
12616,MEG,Medicine,Ophthalmology & Visual Science,Institute of Vision Research
12617,MEG,Medicine,Medicine Administration,Medicine Administration
12618,EDG,Education,Education Administration,Education
12619,CEG,University College,University College Admin,Honors Program
12620,VSG,Office of Univ Student Service,VP Student Services Admin,VP Student Services
